Trade Date,Index Value,Net Change,High,Low
3/14/25,"9,871.43380056400",330.15947831355,"9,884.68024363531","9,709.47007758080"
3/13/25,"9,541.27432225045",-169.15360940458,"9,716.73985141897","9,476.85859616226"
3/12/25,"9,710.42793165503",126.45477489381,"9,841.30383374399","9,611.22668003318"
3/11/25,"9,583.97315676122",35.42113151350,"9,740.39948432494","9,449.36740505235"
3/10/25,"9,548.55202524772",-495.74133758959,"9,815.13688029449","9,448.97916658081"
3/7/25,"10,044.29336283730",109.55423925710,"10,073.59500781530","9,729.87825876319"
3/6/25,"9,934.73912358021",-429.03254773819,"10,240.04409806900","9,903.80594233825"
3/5/25,"10,363.77167131840",178.83981405661,"10,384.27522383110","10,081.58894892900"
3/4/25,"10,184.93185726180",15.94921372075,"10,393.36175643220","9,921.22829217038"
3/3/25,"10,168.98264354100",-248.20383258180,"10,589.79698076120","10,096.82224317440"
2/28/25,"10,417.18647612280",131.11620311171,"10,433.79512274190","10,179.75457184340"
2/27/25,"10,286.07027301110",-383.84723005228,"10,791.70707773340","10,282.45593439430"
2/26/25,"10,669.91750306340",118.58603187489,"10,771.36375844420","10,589.33407498140"
2/25/25,"10,551.33147118850",-229.18133727964,"10,732.31774572640","10,489.69805186860"
2/24/25,"10,780.51280846820",-219.72685575132,"11,010.86099155620","10,727.25933462190"
2/21/25,"11,000.23966421950",-371.83315812355,"11,399.26962172330","10,993.40921627440"
2/20/25,"11,372.07282234300",-116.52505161863,"11,497.74201270550","11,269.21668098700"
2/19/25,"11,488.59787396170",-38.69392501803,"11,551.93552321110","11,381.71903831920"
2/18/25,"11,527.29179897970",169.33329626595,"11,528.80878422920","11,365.71709401470"
2/14/25,"11,357.95850271370",40.12336404471,"11,376.71442182690","11,272.18397567010"
2/13/25,"11,317.83513866900",205.36433716641,"11,321.98161345840","11,165.51505470590"
2/12/25,"11,112.47080150260",49.46829352019,"11,115.74842888340","10,938.34608898380"
2/11/25,"11,063.00250798240",-23.36216400455,"11,123.41145905260","11,012.66364580820"
2/10/25,"11,086.36467198700",142.40408499974,"11,105.56690023270","11,039.88834428510"
2/7/25,"10,943.96058698720",-133.59673937878,"11,187.70449526630","10,920.52563842840"
2/6/25,"11,077.55732636600",27.70019933352,"11,113.64208452250","10,987.11907996540"
2/5/25,"11,049.85712703250",109.29413647007,"11,051.13510238430","10,858.13966675660"
2/4/25,"10,940.56299056240",174.24365765509,"10,958.43276050820","10,804.54077712970"
2/3/25,"10,766.31933290730",-96.63563483495,"10,836.05412629110","10,598.90830928320"
1/31/25,"10,862.95496774230",20.18987217093,"11,077.21345355890","10,828.62998378550"
1/30/25,"10,842.76509557140",139.61867765488,"10,894.43625646880","10,730.80577204100"
1/29/25,"10,703.14641791650",-45.48837969361,"10,784.45831177380","10,625.98756433140"
1/28/25,"10,748.63479761010",173.66834389297,"10,790.29604575940","10,479.31599716390"
1/27/25,"10,574.96645371710",-351.75293603602,"10,738.45914095550","10,441.23667865280"
1/24/25,"10,926.71938975310",-110.29549066177,"11,035.32210584670","10,906.28914853900"
1/23/25,"11,037.01488041490",-11.67883830467,"11,037.24989727900","10,898.80250938050"
1/22/25,"11,048.69371871960",177.45049828016,"11,107.01792245640","10,949.48876079920"
1/21/25,"10,871.24322043940",113.94582835453,"10,940.23754538700","10,743.43320159470"
1/17/25,"10,757.29739208490",215.33054933641,"10,779.27261414960","10,682.89323058160"
1/16/25,"10,541.96684274850",-3.17851060892,"10,668.83173556050","10,508.48800796840"
1/15/25,"10,545.14535335740",215.17129789673,"10,604.86777348830","10,487.13510944840"
1/14/25,"10,329.97405546070",86.93582229881,"10,370.40225235820","10,224.12575283320"
1/13/25,"10,243.03823316190",-65.90855052886,"10,250.24022772640","10,124.74769658150"
