Date,CPI,IndexValue_NDXT,NetChange_NDXT,High_NDXT,Low_NDXT,Close/Last_GOOGL,Volume_GOOGL,Open_GOOGL,High_GOOGL,Low_GOOGL,Close/Last_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL
2025-03-14,315.493,9871.433800564,330.15947831355,9884.68024363531,9709.4700775808,165.49,31995890,211.25,166.49,162.45,213.95,60107580,211.25,213.95,209.58
2025-03-13,315.493,9541.27432225045,-169.15360940458,9716.73985141897,9476.85859616226,162.76,31756210,215.95,166.13,162.11,216.8394,61368330,215.95,216.8394,208.42
2025-03-12,315.493,9710.42793165503,126.45477489381,9841.30383374399,9611.22668003318,167.11,28372400,220.14,167.6399,163.53,221.75,62547470,220.14,221.75,214.91
2025-03-11,315.493,9583.97315676122,35.4211315135,9740.39948432494,9449.36740505235,164.04,39587410,223.805,166.75,161.37,225.8399,76137410,223.805,225.8399,217.45
2025-03-10,315.493,9548.55202524772,-495.74133758959,9815.13688029449,9448.97916658081,165.87,43604030,235.54,168.46,163.69,236.16,72071200,235.54,236.16,224.22
2025-03-07,315.493,10044.2933628373,109.5542392571,10073.5950078153,9729.87825876319,173.86,27385810,235.105,174.97,170.27,241.37,46273570,235.105,241.37,234.76
2025-03-06,315.493,9934.73912358021,-429.03254773819,10240.044098069,9903.80594233825,172.35,28301950,234.435,174.81,170.5,237.86,45170420,234.435,237.86,233.1581
2025-03-05,315.493,10363.7716713184,178.83981405661,10384.2752238311,10081.588948929,173.02,30954920,235.42,173.78,169.06,236.55,47227640,235.42,236.55,229.23
2025-03-04,315.493,10184.9318572618,15.94921372075,10393.3617564322,9921.22829217038,170.92,45388000,237.705,173.2946,165.8,240.07,53798060,237.705,240.07,234.68
2025-03-03,315.493,10168.982643541,-248.2038325818,10589.7969807612,10096.8222431744,167.01,40770450,241.79,173.37,165.93,244.0272,47183990,241.79,244.0272,236.112
2025-02-28,315.493,10417.1864761228,131.11620311171,10433.7951227419,10179.7545718434,170.28,48130570,236.95,170.61,166.77,242.09,56833360,236.95,242.09,230.2
2025-02-27,315.493,10286.0702730111,-383.84723005228,10791.7070777334,10282.4559343943,168.5,39991020,239.41,174.56,167.94,242.46,41153640,239.41,242.46,237.06
2025-02-26,315.493,10669.9175030634,118.58603187489,10771.3637584442,10589.3340749814,172.73,35431270,244.33,176.08,171.5807,244.98,44433560,244.33,244.98,239.13
2025-02-25,315.493,10551.3314711885,-229.18133727964,10732.3177457264,10489.6980518686,175.42,41913410,248.0,178.74,174.6939,250.0,48013270,248.0,250.0,244.91
2025-02-24,315.493,10780.5128084682,-219.72685575132,11010.8609915562,10727.2593346219,179.25,29854210,244.925,183.12,178.885,248.86,51326400,244.925,248.86,244.42
2025-02-21,315.493,11000.2396642195,-371.83315812355,11399.2696217233,10993.4092162744,179.66,35199240,245.95,185.34,179.08,248.69,53197430,245.95,248.69,245.22
2025-02-20,315.493,11372.072822343,-116.52505161863,11497.7420127055,11269.216680987,184.56,20441460,244.94,185.31,182.72,246.78,32316910,244.94,246.78,244.29
2025-02-19,315.493,11488.5978739617,-38.69392501803,11551.9355232111,11381.7190383192,185.27,19549400,244.66,185.46,183.59,246.01,32204220,244.66,246.01,243.1604
2025-02-18,315.493,11527.2917989797,169.33329626595,11528.8087842292,11365.7170940147,183.77,29916680,244.15,185.96,181.7401,245.18,48822490,244.15,245.18,241.84
2025-02-14,315.493,11357.9585027137,40.12336404471,11376.7144218269,11272.1839756701,185.23,20448440,241.25,186.4,184.32,245.55,40896230,241.25,245.55,240.99
2025-02-13,315.493,11317.835138669,205.36433716641,11321.9816134584,11165.5150547059,186.14,21402520,236.91,186.28,183.14,242.3399,53614050,236.91,242.3399,235.57
2025-02-12,315.493,11112.4708015026,49.46829352019,11115.7484288834,10938.3460889838,183.61,22072560,231.2,185.11,181.83,236.96,45243290,231.2,236.96,230.68
2025-02-11,315.493,11063.0025079824,-23.36216400455,11123.4114590526,11012.6636458082,185.32,21239520,228.2,186.94,184.28,235.23,53718360,228.2,235.23,228.13
2025-02-10,315.493,11086.364671987,142.40408499974,11105.5669002327,11039.8883442851,186.47,23105650,229.57,188.2,185.86,230.585,33115650,229.57,230.585,227.2
2025-02-07,315.493,10943.9605869872,-133.59673937878,11187.7044952663,10920.5256384284,185.34,49314960,232.6,191.18,183.24,234.0,39707220,232.6,234.0,227.26
2025-02-06,315.493,11077.557326366,27.70019933352,11113.6420845225,10987.1190799654,191.6,29297440,231.285,192.1,188.72,233.8,29925350,231.285,233.8,230.425
2025-02-05,315.493,11049.8571270325,109.29413647007,11051.1351023843,10858.1396667566,191.33,70461770,228.53,192.75,188.03,232.67,39664990,228.53,232.67,228.27
2025-02-04,315.493,10940.5629905624,174.24365765509,10958.4327605082,10804.5407771297,206.38,43856430,227.25,207.05,202.81,233.13,45067300,227.25,233.13,226.65
2025-02-03,315.493,10766.3193329073,-96.63563483495,10836.0541262911,10598.9083092832,201.23,27838350,229.99,203.75,200.1,231.83,73063300,229.99,231.83,225.7
2025-01-31,315.493,10862.9549677423,20.18987217093,11077.2134535589,10828.6299837855,204.02,32041950,247.19,205.48,201.8,247.19,101075100,247.19,247.19,233.44
2025-01-30,315.493,10842.7650955714,139.61867765488,10894.4362564688,10730.805772041,200.87,24354680,238.665,201.4,197.67,240.79,55658280,238.665,240.79,237.21
2025-01-29,315.493,10703.1464179165,-45.48837969361,10784.4583117738,10625.9875643314,195.41,18218260,234.12,196.785,193.43,239.855,45486100,234.12,239.855,234.01
2025-01-28,315.493,10748.6347976101,173.66834389297,10790.2960457594,10479.3159971639,195.3,24157930,230.85,195.48,190.68,240.19,75707570,230.85,240.19,230.81
2025-01-27,315.493,10574.9664537171,-351.75293603602,10738.4591409555,10441.2366786528,191.81,41728890,224.02,196.88,190.73,232.15,94863420,224.02,232.15,223.98
2025-01-24,315.493,10926.7193897531,-110.29549066177,11035.3221058467,10906.289148539,200.21,23877520,224.78,200.9,198.0,225.63,54697910,224.78,225.63,221.41
2025-01-23,315.493,11037.0148804149,-11.67883830467,11037.249897279,10898.8025093805,197.98,26951360,224.74,200.3,195.2,227.03,60234760,224.74,227.03,222.3
2025-01-22,315.493,11048.6937187196,177.45049828016,11107.0179224564,10949.4887607992,198.37,26200620,219.79,200.48,197.53,224.12,64126500,219.79,224.12,219.79
2025-01-21,315.493,10871.2432204394,113.94582835453,10940.237545387,10743.4332015947,198.05,29971290,224.0,202.29,197.87,224.42,98070430,224.0,224.42,219.38
2025-01-17,315.493,10757.2973920849,215.33054933641,10779.2726141496,10682.8932305816,196.0,27735090,232.115,197.23,193.75,232.29,68488300,232.115,232.29,228.48
2025-01-16,315.493,10541.9668427485,-3.17851060892,10668.8317355605,10508.4880079684,192.91,17815430,237.35,195.48,192.81,238.01,71759050,237.35,238.01,228.03
2025-01-15,315.493,10545.1453533574,215.17129789673,10604.8677734883,10487.1351094484,195.55,21775970,234.635,196.36,191.86,238.96,39831970,234.635,238.96,234.43
2025-01-14,315.493,10329.9740554607,86.93582229881,10370.4022523582,10224.1257528332,189.66,17174850,234.75,191.98,188.3082,236.12,39435290,234.75,236.12,232.472
2025-01-13,315.493,10243.0382331619,-65.90855052886,10250.2402277264,10124.7476965815,191.01,21823700,233.53,191.18,187.36,234.67,49630730,233.53,234.67,229.72
2025-01-10,315.493,10308.9467836907,-201.73822782606,10389.0050722888,10246.6531008598,192.04,26665210,240.01,196.52,190.31,240.16,61710860,240.01,240.16,233.0
2025-01-08,315.493,10510.6850115168,-36.76801396703,10538.6058662875,10387.4358849405,193.95,24864770,241.92,196.29,192.38,243.7123,37628940,241.92,243.7123,240.05
2025-01-07,315.493,10547.4530254838,-192.08831605547,10773.3450864879,10487.2847880541,195.49,26487240,242.98,201.0,194.6,245.55,40855960,242.98,245.55,241.35
