# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
2.385679978838265470e+03,2.710173083546632528e+07,1.068867250224810690e+08,2.365991799311383090e+02,2.818781852807779842e+01,3.124137911923362765e+01,3.354182767308625301e+01,2.385895773352501237e+03,2.362802708039723257e+03,2.808281772535099208e+01,3.098958207396003672e+01,2.758571688334966865e+01,3.124137911923362765e+01,3.098958207396003672e+01,3.071776049408987319e+01
2.378253307725981358e+03,2.300421206177418306e+07,1.530464067676930428e+08,2.365993598513728102e+02,2.802190040241812596e+01,3.190124043741248272e+01,1.533339866469788149e+01,2.380875180230575097e+03,2.364492907477642802e+03,2.788706786956706196e+01,3.148923494079122065e+01,2.775413610310514656e+01,3.190124043741248272e+01,3.148923494079122065e+01,3.149861940042578112e+01
2.400075715748336279e+03,3.099414331651165709e+07,1.996844368630993366e+08,2.365993598513727818e+02,2.834761976036332953e+01,3.232227477928012149e+01,1.419174591240465588e+01,2.415994470639005158e+03,2.354869265007252125e+03,2.829956701844977829e+01,3.175448772523623120e+01,2.769195537470262281e+01,3.232227477928012149e+01,3.175448772523623120e+01,3.158297583866418279e+01
2.409499124324448530e+03,2.287382757226473093e+07,1.602308185442027450e+08,2.365993598513728102e+02,2.835592143057661474e+01,3.228709321024130929e+01,1.494973641730251401e+01,2.413155543430130820e+03,2.403692343309658099e+03,2.819061951497926088e+01,3.217159794025161546e+01,2.814567977326454695e+01,3.228709321024130929e+01,3.217159794025161546e+01,3.184361655083698395e+01
2.431090525055474245e+03,3.772271688353872299e+07,2.224614919811404645e+08,2.365993598513727818e+02,2.834890061807401196e+01,3.206532355342856988e+01,1.588322737112762439e+01,2.440997057653114553e+03,2.421071842930155071e+03,2.822987785669518246e+01,3.206883574612194820e+01,2.825231376500748581e+01,3.206532355342856988e+01,3.206883574612194820e+01,3.121958286322008291e+01
2.419800854309685747e+03,2.775267281337832287e+07,1.440082613381894231e+08,2.365993598513728102e+02,2.847373842883740735e+01,3.196432647273543637e+01,1.163273058505140156e+01,2.429729032126922903e+03,2.416485910654119834e+03,2.827118972972940014e+01,3.180570585442922038e+01,2.812089973364800244e+01,3.196432647273543637e+01,3.180570585442922038e+01,3.168342910680605939e+01
2.403087217046933347e+03,5.947097434163840860e+07,1.423675930744106174e+08,2.365993598513727818e+02,2.912807697549128250e+01,3.203564859761488037e+01,1.057214264433023843e+01,2.422038178490335667e+03,2.399593471233717082e+03,2.885491565473557785e+01,3.186370654656526824e+01,2.842103150401580791e+01,3.203564859761488037e+01,3.186370654656526824e+01,3.167886910348832430e+01
2.325136856348794026e+03,4.407865639978517592e+07,1.808911175414771438e+08,2.365993598513728102e+02,2.898554666673113900e+01,3.167101859492397864e+01,-2.360503450022847005e+00,2.397726491645142232e+03,2.308891248834112957e+03,2.832937950504545199e+01,3.166825468105942321e+01,2.835212414828957606e+01,3.167101859492397864e+01,3.166825468105942321e+01,3.069488278561345851e+01
2.306442032772537914e+03,4.790960514940773696e+07,1.847178295955469608e+08,2.365993598513727818e+02,2.830049836922580653e+01,3.117441428958380811e+01,-2.841303912862514380e+00,2.309163479020117393e+03,2.268227829688419661e+03,2.819008489805268880e+01,3.070779911018880171e+01,2.787262835368061786e+01,3.117441428958380811e+01,3.070779911018880171e+01,3.067659840986803488e+01
2.339537629611061220e+03,3.310986270558127761e+07,1.633376062029896080e+08,2.365993598513728102e+02,2.815547983051116887e+01,3.119987368202379230e+01,-7.373435497738874744e+00,2.351635404173329789e+03,2.304409631440578778e+03,2.789432940655781579e+01,3.117435125724941258e+01,2.788093042359457030e+01,3.119987368202379230e+01,3.117435125724941258e+01,3.078159269406974374e+01
