# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-9.260413108555439976e+00,1.778089164533674717e+06,9.667819497751893103e+07,-1.799311383194890368e-04,-1.558185280777983905e-01,5.886208807663706466e-01,-4.147422092995625320e+01,-4.850121726001361822e+00,1.227988307876785257e+00,-2.023177253509906848e-01,4.854179260399646978e-01,1.347831166503326017e-01,5.886208807663706466e-01,4.854179260399646978e-01,6.947395059101282300e-01
2.263715041598879907e+01,1.223916793822581694e+07,1.074262732323069572e+08,-3.598513728206853557e-04,3.035995975818757131e-01,3.887595625875164274e-01,9.137493747562118074e+00,3.116989176495508218e+01,-8.700004173172601440e+00,4.209321304329378677e-01,2.607650592087793484e-01,-7.913610310514584967e-02,3.887595625875164274e-01,2.607650592087793484e-01,9.388059957422001389e-02
7.652549787673706305e+00,-6.387183316511657089e+06,-1.698635686309933662e+07,-3.598513727922636463e-04,3.802396366694438257e-04,-1.097477928011869608e-02,-7.353938518364655508e+00,-2.963036848975207249e+00,4.265135666745800336e+01,-1.160670184497796242e-01,4.330122747637688008e-01,4.140446252973788432e-01,-1.097477928011869608e-02,4.330122747637688008e-01,2.670241613358186328e-01
2.231469732418145213e+01,2.138145242773526907e+07,1.138339014557972550e+08,-3.598513728206853557e-04,-9.214305766143127130e-04,-1.870932102413078724e-01,9.135819695317486833e+00,2.513451957968936767e+01,1.558892340026204693e+01,5.688048502073783652e-02,-1.090979402516154551e-01,7.832022673545324665e-02,-1.870932102413078724e-01,-1.090979402516154551e-01,-5.536165508369847998e-01
-1.274695596429410216e+01,-7.689496883538722992e+06,-7.207109198114046454e+07,-3.598513727922636463e-04,1.330993819259873590e-01,-1.028235534285713015e-01,-2.935347992857762378e+01,-9.626859463994605903e+00,-2.728273838974928367e+00,3.862214330481705815e-02,-2.888357461219470679e-01,-9.931376500748712033e-02,-1.028235534285713015e-01,-2.888357461219470679e-01,4.104171367799160919e-01
-1.788099772767554896e+01,5.128738718662168086e+07,-1.301946133818942308e+07,-3.598513728206853557e-04,6.202615711625938388e-01,4.567352726456164191e-02,-2.805644309422140026e+01,-6.765144620103001216e+00,-1.465933186551001199e+01,6.058102702705987497e-01,1.794145570780614207e-03,2.836002663519963107e-01,4.567352726456164191e-02,1.794145570780614207e-03,-4.342910680605882590e-02
-8.200733514072317121e+01,-6.415414341638408601e+06,6.365480692558938265e+07,-3.598513727922636463e-04,-1.245769754912835481e-01,-3.306485976148820782e-01,-9.141211732013023550e+01,-2.129164967550559595e+01,-7.937151593455701004e+01,-5.049156547355764246e-01,-2.287065465652666774e-01,-7.103150401580649032e-02,-3.306485976148820782e-01,-2.287065465652666774e-01,-8.338691034883254360e-01
-2.114119734953419538e+01,5.709483600214824080e+06,8.747322458522856236e+06,-3.598513728206853557e-04,-6.260466667311384015e-01,-4.510185949239797765e-01,-1.472371945692715300e+01,-8.061239747882245865e+01,-3.616493821923313590e+01,-1.473795050454533850e-01,-9.782546810594219266e-01,-4.366241482895745207e-01,-4.510185949239797765e-01,-9.782546810594219266e-01,-4.488278561345993012e-02
3.391030113041188088e+01,-1.339400514940773696e+07,-2.683094959554696083e+07,-3.598513727922636463e-04,-9.719836922580782357e-02,5.857104161925974495e-04,3.919797881655251359e+01,3.703105144021265005e+01,2.780073677685049915e+01,-3.125848980526875209e-01,4.347008898111965891e-01,-2.612835368061894314e-02,5.857104161925974495e-04,4.347008898111965891e-01,5.090159013196426940e-02
3.935247143579863405e+01,-8.330862705581277609e+06,2.456231379701039195e+07,-3.598513728206853557e-04,-4.747983051116833053e-02,4.001263179762091227e-01,4.591120264164887743e+01,2.935383754242002396e+01,5.508541300228125692e+01,1.624705934421832865e-01,-1.618512572494132939e-01,-4.143042359456927670e-02,4.001263179762091227e-01,-1.618512572494132939e-01,2.184073059302562569e-01
-3.317719650495655515e+01,2.744910242280691862e+06,-2.287008894312024117e+07,-3.598513727922636463e-04,-9.144375219069189598e-03,-4.828565171428422786e-02,-3.286297048370057894e+01,-1.785737513321782899e+01,-1.670963637688373638e+01,-3.451802111765829295e-01,4.467110758686416716e-01,-1.536930830207623444e-01,-4.828565171428422786e-02,4.467110758686416716e-01,4.783282348099504588e-02
