# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL
9.870351277740670412e+03,2.373981211638993025e+07,4.470648382465091348e+07,3.154928068880265641e+02,8.670569072491184670e+01,2.139452709187736161e+02
9.565161020228628331e+03,2.423909535494169965e+07,4.748737392794779688e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.171525726970748451e+02
9.684724393634771332e+03,2.561374811596221849e+07,5.165522558347680420e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.221913566792186998e+02
9.607991652625069037e+03,3.229723548789746314e+07,6.167217989077708870e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.260909616567613227e+02
9.557602795133745531e+03,3.691103740040951967e+07,6.167620559586781263e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.371329190543339962e+02
9.998805663428171101e+03,2.790649833778556436e+07,4.472556722539885342e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.415436652746503228e+02
9.985097146846495889e+03,2.804123064300424978e+07,4.743016560780017823e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.372375073759749000e+02
1.028817945512243568e+04,2.887866206427080184e+07,4.710557914548703283e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.364582862836745392e+02
1.021963558599252246e+04,3.812610545814527571e+07,5.330278382493820786e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.406027890851642894e+02
1.013321277895439562e+04,3.370762500034791231e+07,4.997076970551881939e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.444350661503290780e+02
1.037047835273505552e+04,4.209887065015283227e+07,5.578689504668737203e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.415502053953566417e+02
1.033447634789967742e+04,3.713908601417842507e+07,4.589628817513923347e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.424737611296110913e+02
1.058653474494263901e+04,3.485547250367574394e+07,4.738751607561721653e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.454362893611055938e+02
1.061422212536366533e+04,3.849949427027849853e+07,4.726322759514269978e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.505464582978219141e+02
1.072331156728280257e+04,3.140116083199921250e+07,4.977202028740530461e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.482809863935523254e+02
1.099412299875662939e+04,3.272835391388085112e+07,5.020477407336826622e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.486711018316880768e+02
1.136682882775512553e+04,2.487076388201096654e+07,4.019921367248638719e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.467923763622222282e+02
1.142076611691190192e+04,2.465590382670529932e+07,3.866291530100343376e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.460023777780801311e+02
1.153007007609601533e+04,2.914011113491660729e+07,4.745013600777703524e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.448706121116120471e+02
1.128983668824891356e+04,2.454695907565385103e+07,4.219326139414148033e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.457021212264656356e+02
1.131095997207139226e+04,2.501253502963156626e+07,4.962864812656722963e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.421506129956679843e+02
1.110128363068150429e+04,2.381008726776742935e+07,4.580002163250831515e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.363229556575330434e+02
1.108002132078092836e+04,2.367481759993048012e+07,5.005713667558485270e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.350891029273155652e+02
1.107964811044388625e+04,2.466461970656632632e+07,3.818289479428203404e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.303530366144461539e+02
1.098907888279836334e+04,3.927487660103367269e+07,4.230475893805038184e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.346607311385294850e+02
1.106486471188070209e+04,2.962747995637373999e+07,3.536798346838202327e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.333837986788414298e+02
1.107659856957492411e+04,5.448938491510748863e+07,4.246788877922636271e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.325466217889324412e+02
1.092500782396176146e+04,3.743242680986327678e+07,4.347730307371673733e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.334004139828331290e+02
1.075920191560472813e+04,3.391157722163624316e+07,6.075085323316645622e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.316471888650740141e+02
1.083329633883948736e+04,3.109479330624975637e+07,7.473345555475327373e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.488184568954756628e+02
1.082947192785843799e+04,2.794980209146972001e+07,5.310515368307069689e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.395244163711894316e+02
1.072505332204977458e+04,2.397202218011457101e+07,4.751882221350554377e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.400684495079406418e+02
1.073823608170625812e+04,2.578670599603974447e+07,6.430057041615323722e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.400547029799960512e+02
1.061981297761896349e+04,3.519621636561123282e+07,7.423564273168009520e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.313865202481861161e+02
1.092258421023729898e+04,2.787016228176715970e+07,5.474653233711491525e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.252363902314534982e+02
1.107246673014404405e+04,2.728848630717397481e+07,6.184538954932757467e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.273046008288380619e+02
1.106359607809591762e+04,2.870042797579543665e+07,6.231079980276411027e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.238259999704950758e+02
1.085253278748121920e+04,3.101286006111291796e+07,8.081129237289287150e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.246401944598614762e+02
1.075900452930403480e+04,2.660609567827374861e+07,6.356394633592700213e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.330266122295978448e+02
1.051418398195615191e+04,2.398609893788284808e+07,6.864798666483199596e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.383805906980487919e+02
1.055837925390770215e+04,2.536699000540109351e+07,4.986878806725692749e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.389075584122415705e+02
