# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
3.254760729145528444e+02,9.992458901514870377e+03,9.709036243445319997e+03,1.654890147914526324e+02,2.112467711208329320e+02,1.624172722792173715e+02,2.139452709187736161e+02,2.112467711208329320e+02,2.095783944724471439e+02
1.081361550943614134e+02,1.026789561246821540e+04,9.446627579664094810e+03,1.628253769098408270e+02,2.158969686712600833e+02,1.620481561178923471e+02,2.171525726970748451e+02,2.158969686712600833e+02,2.082677271245419206e+02
7.086304270119677540e+01,1.058557791797888058e+04,9.638308051750746017e+03,1.670372799797970345e+02,2.199842859436076310e+02,1.636056840830602255e+02,2.221913566792186998e+02,2.199842859436076310e+02,2.158311777903265067e+02
8.064667480844616421e+01,1.080240090812214839e+04,9.428963416502336258e+03,1.642077588742659486e+02,2.235941725400162170e+02,1.611980914878557485e+02,2.260909616567613227e+02,2.235941725400162170e+02,2.176341871929578815e+02
1.384988419182417374e+01,1.081979780164958720e+04,9.452007297284915694e+03,1.656953432039486529e+02,2.352595639359583117e+02,1.637417618170101150e+02,2.371329190543339962e+02,2.352595639359583117e+02,2.246426711654425503e+02
-7.227909757456501438e+01,1.063004529251592976e+04,9.780994995305623888e+03,1.737188459838559993e+02,2.347816350567379402e+02,1.708573076975874869e+02,2.415436652746503228e+02,2.347816350567379402e+02,2.359552284540230289e+02
-3.718744752839654666e+00,1.031899279472810667e+04,9.913275833123803750e+03,1.722423962155914978e+02,2.344177590278163450e+02,1.703188994463654353e+02,2.372375073759749000e+02,2.344177590278163450e+02,2.321672991017971412e+02
-1.037283393604248545e+02,1.002697275759648255e+04,1.008804607999141808e+04,1.722855326750675999e+02,2.355095590018444796e+02,1.685450983643085578e+02,2.364582862836745392e+02,2.355095590018444796e+02,2.285358609069368754e+02
-1.564189203617007706e+01,9.886560254153271671e+03,9.898585441131388507e+03,1.711310147487158133e+02,2.376451802909301136e+02,1.652794705885389419e+02,2.406027890851642894e+02,2.376451802909301136e+02,2.357306919568189301e+02
-3.972932139083587799e+01,9.960466794462459802e+03,1.009484858568443087e+04,1.666679652754744154e+02,2.419744330188713946e+02,1.655663194543735131e+02,2.444350661503290780e+02,2.419744330188713946e+02,2.363076287591802611e+02
-8.564915711310067081e+01,1.021599408890321138e+04,1.018913109226070446e+04,1.703934556017267710e+02,2.368771980790000100e+02,1.669902519228021163e+02,2.415502053953566417e+02,2.368771980790000100e+02,2.294241609504028361e+02
5.175552238409864003e-02,1.053655877706259889e+04,1.027213881832651168e+04,1.690228797386259316e+02,2.393825544838634869e+02,1.682870607833855274e+02,2.424737611296110913e+02,2.393825544838634869e+02,2.380750547620456814e+02
-1.232235390372212009e+02,1.077785754879454726e+04,1.063824019181303811e+04,1.727097240570927852e+02,2.443688428735727598e+02,1.721361669496837408e+02,2.454362893611055938e+02,2.443688428735727598e+02,2.396426722134591500e+02
-7.650440271736954401e+00,1.082987747217797369e+04,1.046692195667043597e+04,1.754866037761237862e+02,2.480260213479089941e+02,1.747405165340283020e+02,2.505464582978219141e+02,2.480260213479089941e+02,2.456539995430895260e+02
-1.020588195922590700e+02,1.066949922193643579e+04,1.074173110150342109e+04,1.791266170415143506e+02,2.448050692516426068e+02,1.788892563129572864e+02,2.482809863935523254e+02,2.448050692516426068e+02,2.444141379609263254e+02
-7.328130293413857999e+01,1.036881505796770216e+04,1.104253946399469169e+04,1.789893601411524742e+02,2.453172771294073300e+02,1.787471520019964828e+02,2.486711018316880768e+02,2.453172771294073300e+02,2.447591010571152879e+02
