# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
2.385403694495841592e+03,3.012626026116178557e+07,1.180309820755764544e+08,2.365991195644299410e+02,2.820185976764765456e+01,3.123897951976849185e+01,3.391870777949318949e+01,2.386372392330197727e+03,2.362857650825926157e+03,2.810011778813608885e+01,3.097105466525376016e+01,2.757550083994624401e+01,3.123897951976849185e+01,3.097105466525376016e+01,9.973623200371656594e+01
2.444414332214664228e+03,3.497865346829964221e+07,2.082681234842442274e+08,2.365992140064906266e+02,2.839858943801164770e+01,3.230432259256271266e+01,2.613441959995064323e+01,2.454411196080463924e+03,2.434920383909195607e+03,2.828493865740401247e+01,3.229677939636746942e+01,2.831275315136641524e+01,3.230432259256271266e+01,3.229677939636746942e+01,9.973623200371656594e+01
2.389235486924057568e+03,5.945498652367849648e+07,1.071346660590955913e+08,2.365993483986030412e+02,2.922574976668359170e+01,3.195329684629311373e+01,-7.915785210257020310e-01,2.413615833568244398e+03,2.391040627023034176e+03,2.895597179134578170e+01,3.174788268385376000e+01,2.840087988120799167e+01,3.195329684629311373e+01,3.174788268385376000e+01,9.973623200371656594e+01
2.369412087779921421e+03,4.668742706457561255e+07,1.439849749012264013e+08,2.365993954068884477e+02,2.838579588614484095e+01,3.159077001960548614e+01,5.210442781436995574e+00,2.375471664921734828e+03,2.351028818477752793e+03,2.808056999995103098e+01,3.146135295950088562e+01,2.779706228978821514e+01,3.159077001960548614e+01,3.146135295950088562e+01,9.973623200371656594e+01
2.340742143380997732e+03,3.504922579183161259e+07,1.416506744736889303e+08,2.365993081345840778e+02,2.791230995858509090e+01,3.117660461079871936e+01,1.510374246844188306e+00,2.340770032711307067e+03,2.319727578517436541e+03,2.748203931897109698e+01,3.111892036549953389e+01,2.726834970798452673e+01,3.117660461079871936e+01,3.111892036549953389e+01,9.973623200371656594e+01
2.374326792759531145e+03,3.709259659476536512e+07,1.420010452247540653e+08,2.367818166113200675e+02,2.766163981849055631e+01,3.149956611167654330e+01,7.635113389270227202e+00,2.382515906539968455e+03,2.355244129606326169e+03,2.746087333784674200e+01,3.138322796071220466e+01,2.719214652036599489e+01,3.149956611167654330e+01,3.138322796071220466e+01,9.973623200371656594e+01
2.400615733708960306e+03,3.500421890664135665e+07,1.346582909252312183e+08,2.370196415999174633e+02,2.743258934569256269e+01,3.173038010566085632e+01,1.060968088634963813e+01,2.403101341682362090e+03,2.369279013931255122e+03,2.738305124566227988e+01,3.147767538958785849e+01,2.710180350858654919e+01,3.173038010566085632e+01,3.147767538958785849e+01,9.973623200371656594e+01
2.384743387614494623e+03,3.318611992793668061e+07,1.316081975579186827e+08,2.371432251640345896e+02,2.773174442633148828e+01,3.225901401159703141e+01,-1.182852716676012861e+01,2.420131227803298316e+03,2.392716366115417713e+03,2.748564842832116994e+01,3.223114970250780686e+01,2.733270227446040224e+01,3.225901401159703141e+01,3.223114970250780686e+01,9.973623200371656594e+01
2.366351866526080357e+03,4.507976231419195235e+07,1.794484090633524060e+08,2.374029013070202723e+02,2.681734138907842180e+01,3.132580311225910918e+01,-8.340736478405382570e+00,2.369040318535281131e+03,2.347669531130481118e+03,2.653321701630562757e+01,3.124218817801698833e+01,2.630771842068660504e+01,3.132580311225910918e+01,3.124218817801698833e+01,9.973623200371656594e+01
2.417649481528450451e+03,3.170108445366606116e+07,1.161313549781512469e+08,2.374994295659479917e+02,2.753146725749773083e+01,3.224715600050619457e+01,1.375557544090261786e+01,2.437170310475722999e+03,2.412845076729468474e+03,2.730070661166290336e+01,3.216218937223497676e+01,2.732297512622461966e+01,3.224715600050619457e+01,3.216218937223497676e+01,9.973623200371656594e+01
2.398650260128149057e+03,3.378184957416033000e+07,1.828390199956587553e+08,2.376415122484329459e+02,2.801495090177949265e+01,3.254297183850997044e+01,-2.244038093360716246e+00,2.411172034588917541e+03,2.387506693182660456e+03,2.771025653881368811e+01,3.232805293532244661e+01,2.761083606315936123e+01,3.254297183850997044e+01,3.232805293532244661e+01,9.973623200371656594e+01
2.399059776041206987e+03,3.553535481670775265e+07,2.078884819789723158e+08,2.378542988829185560e+02,2.839769481544693974e+01,3.297169906767000214e+01,-5.798236212237785736e+00,2.409075484825018520e+03,2.379332664303769889e+03,2.807249463281773671e+01,3.261620911967534653e+01,2.799450594893796307e+01,3.297169906767000214e+01,3.261620911967534653e+01,9.973623200371656594e+01
2.389575564884326468e+03,3.450512469037128240e+07,1.833573350119535923e+08,2.379770515003658886e+02,2.768294231472737010e+01,3.206727628093319993e+01,1.024926455950433635e+00,2.391790426258414755e+03,2.369928260115654666e+03,2.753084979872672022e+01,3.169947793905355127e+01,2.728707747936608996e+01,3.206727628093319993e+01,3.169947793905355127e+01,9.973623200371656594e+01
2.365038568311004383e+03,3.411968426052404195e+07,1.666268215277935266e+08,2.380506752845113567e+02,2.726364868596790814e+01,3.135271436410820911e+01,5.278459289599904736e+00,2.371561519056263478e+03,2.356425713229638404e+03,2.715666009704375483e+01,3.107346698279927466e+01,2.655747399831179223e+01,3.135271436410820911e+01,3.107346698279927466e+01,9.973623200371656594e+01
2.396201799286139703e+03,2.685485643448410928e+07,1.531406704799284935e+08,2.382044492038210137e+02,2.768619450314550789e+01,3.196930871339637292e+01,-3.865070458893418603e+00,2.406690522844424777e+03,2.395718460517236963e+03,2.730378287812879279e+01,3.197601142965429233e+01,2.737137277172208627e+01,3.196930871339637292e+01,3.197601142965429233e+01,9.973623200371656594e+01
2.418462151390134295e+03,3.554337327871286869e+07,1.561895962198427022e+08,2.383190353884339459e+02,2.742835971293010289e+01,3.251855975539453425e+01,-1.891273669733350538e+00,2.442130620821267257e+03,2.417845166966606484e+03,2.724597516077722759e+01,3.235005580628482846e+01,2.705026136056041963e+01,3.251855975539453425e+01,3.235005580628482846e+01,9.973623200371656594e+01
2.414131166298484914e+03,4.312100023281349987e+07,1.696035774213884771e+08,2.384173598677632526e+02,2.767986405012801754e+01,3.283064470403159874e+01,-3.355945839903144545e+00,2.435691052057527486e+03,2.407572590634437802e+03,2.753227203567916348e+01,3.278846918593642101e+01,2.733786648604748137e+01,3.283064470403159874e+01,3.278846918593642101e+01,9.973623200371656594e+01
2.436569135058945449e+03,3.652334985949493945e+07,1.750095878250951171e+08,2.385048669960807217e+02,2.767688415854546946e+01,3.286740246988452441e+01,1.340973048772735865e+01,2.445094890605736055e+03,2.397845043669632105e+03,2.765464413598270710e+01,3.258227499925928328e+01,2.734823557192738974e+01,3.286740246988452441e+01,3.258227499925928328e+01,9.973623200371656594e+01
2.462341788587621522e+03,3.460066773476161808e+07,1.719690098078030050e+08,2.386063505251574099e+02,2.786743141297347393e+01,3.309866426537448092e+01,2.301263073999380282e+01,2.464444875545489140e+03,2.400623794926157643e+03,2.773617364583485312e+01,3.261416230776970338e+01,2.741690681299063215e+01,3.309866426537448092e+01,3.261416230776970338e+01,9.973623200371656594e+01
2.434124949285987896e+03,3.304397845201521367e+07,1.619324912448954880e+08,2.386630513320224907e+02,2.794238363426529048e+01,3.285433093923111869e+01,-3.987836731551325897e+00,2.453905893313709839e+03,2.415104910989493874e+03,2.768588919509944191e+01,3.244727155045747224e+01,2.750915319022645633e+01,3.285433093923111869e+01,3.244727155045747224e+01,9.973623200371656594e+01
2.424733267904486638e+03,2.996307819624101743e+07,1.511860385289813578e+08,2.386538434305238638e+02,2.782385267967072195e+01,3.256581220075224792e+01,-7.926625244183652441e+00,2.441346483006707331e+03,2.420804802116850169e+03,2.761168123285164455e+01,3.237818545156854100e+01,2.744596686663084739e+01,3.256581220075224792e+01,3.237818545156854100e+01,9.973623200371656594e+01
2.379985864031664278e+03,3.170972497378132492e+07,1.934865128630894125e+08,2.387107731750244568e+02,2.743412447184616809e+01,3.219055983290047607e+01,-7.343259940252249152e+00,2.420386219166831324e+03,2.373533181459116804e+03,2.713764111511085275e+01,3.220902772586504170e+01,2.711787878020007270e+01,3.219055983290047607e+01,3.220902772586504170e+01,9.973623200371656594e+01
2.408261514405515300e+03,2.989345182498720661e+07,1.483990679193094075e+08,2.386171376054960547e+02,2.747969839733672615e+01,3.209738829959414375e+01,3.411756841684287167e+00,2.410865687887122476e+03,2.404591969378245722e+03,2.740625593115798608e+01,3.197561511773952247e+01,2.728094860146033085e+01,3.209738829959414375e+01,3.197561511773952247e+01,9.973623200371656594e+01
2.394366750318543836e+03,3.335424982839122787e+07,1.481945252155491412e+08,2.386478640199784991e+02,2.718800262108508292e+01,3.193510745760434588e+01,6.045660088601891857e+00,2.399325666643109344e+03,2.377077414070613941e+03,2.716135743959593896e+01,3.173277317996920033e+01,2.693668215525988074e+01,3.193510745760434588e+01,3.173277317996920033e+01,9.973623200371656594e+01
2.401076141537585045e+03,3.275951803496965021e+07,1.708117974861688912e+08,2.386528230071426151e+02,2.774889155843164446e+01,3.222559987105562129e+01,-9.493660933547566572e+00,2.417329459967399544e+03,2.393750933669640290e+03,2.766529315996464788e+01,3.176132082573417392e+01,2.752537854584993227e+01,3.222559987105562129e+01,3.176132082573417392e+01,9.973623200371656594e+01
2.404886904611221325e+03,3.064500652066005766e+07,1.895352650555704832e+08,2.386621113297743193e+02,2.825118853549061981e+01,3.254996004284001287e+01,-1.048651644484159284e+01,2.423285633033155591e+03,2.404126522198990642e+03,2.803679412841938756e+01,3.181273426311720698e+01,2.793092404954654739e+01,3.254996004284001287e+01,3.181273426311720698e+01,9.973623200371656594e+01
2.344485498876386373e+03,3.052466376520010084e+07,1.595462344976557195e+08,2.386473759481316392e+02,2.771428459452968696e+01,3.197409872189817293e+01,-5.933496585595339212e-01,2.353314303221787213e+03,2.339156278487909276e+03,2.759216313250995967e+01,3.170255336185404360e+01,2.745405703850920531e+01,3.197409872189817293e+01,3.170255336185404360e+01,9.973623200371656594e+01
2.307822740115302622e+03,3.115220982705532759e+07,1.277709586728630066e+08,2.386192993259736568e+02,2.745543740378440134e+01,3.153437383435182539e+01,3.309056272942266119e+00,2.304930867266303721e+03,2.290456222288709796e+03,2.740949536509452145e+01,3.155585909525538568e+01,2.727851170962977534e+01,3.153437383435182539e+01,3.155585909525538568e+01,9.973623200371656594e+01
2.284662457325038304e+03,2.880685539134516194e+07,1.412966255834943950e+08,2.386341625152985557e+02,2.759222737058746588e+01,3.155248797136134442e+01,-9.469368986749707062e+00,2.311006858836481570e+03,2.278294017509062087e+03,2.736509053593437812e+01,3.119097852270476778e+01,2.716186856937837746e+01,3.155248797136134442e+01,3.119097852270476778e+01,9.973623200371656594e+01
2.263602989406736469e+03,3.907421290702147037e+07,2.156931311408230662e+08,2.385052881776976221e+02,2.801270762168108774e+01,3.086070854066275615e+01,1.654491589526076112e+01,2.264633781780238223e+03,2.252866855154580662e+03,2.781726886199975013e+01,3.029940344049249745e+01,2.760209596045501712e+01,3.086070854066275615e+01,3.029940344049249745e+01,9.973623200371656594e+01
2.330605515008438942e+03,5.724709771430181712e+07,1.319480845211978108e+08,2.384746839298952636e+02,2.965552889054350061e+01,3.174748985780325938e+01,1.229505209576871039e+00,2.340900491304530988e+03,2.321364062418385402e+03,2.931069384696325386e+01,3.174620607604862244e+01,2.880787112591495713e+01,3.174748985780325938e+01,3.174620607604862244e+01,9.973623200371656594e+01
2.300467771364177224e+03,5.656466842825596035e+07,2.480950452333330512e+08,2.384225644943321640e+02,3.300979414328110551e+01,3.140587086264817174e+01,-6.068190380643116555e+00,2.307752598610437872e+03,2.289511339708425567e+03,3.228804102513381480e+01,3.088699574459441521e+01,3.190504332340822202e+01,3.140587086264817174e+01,3.088699574459441521e+01,9.973623200371656594e+01
2.293772133912747449e+03,5.849183595578613877e+07,3.290402543867381215e+08,2.383954631272531230e+02,3.603100657150305608e+01,3.141710036403367212e+01,-1.055577294795025800e+01,2.294133977892182429e+03,2.276683069899729617e+03,3.500406464612873236e+01,3.039532455398807542e+01,3.479045535032557979e+01,3.141710036403367212e+01,3.039532455398807542e+01,9.973623200371656594e+01
2.310558396269018431e+03,4.866311245801065862e+07,2.235491402340419888e+08,2.383164291558611581e+02,3.435528746366131259e+01,3.090152404226682847e+01,5.436955322323679951e-01,2.310697733357418201e+03,2.287675885954603018e+03,3.383329854839323758e+01,3.055083860531594553e+01,3.342476877315023387e+01,3.090152404226682847e+01,3.055083860531594553e+01,9.973623200371656594e+01
2.313167227381240082e+03,3.758790627161490172e+07,1.720313954183138609e+08,2.382919976579065064e+02,3.348695437445105938e+01,3.049936609706428214e+01,1.329827634201190456e+01,2.323772793562338393e+03,2.294089301226313637e+03,3.323027268522871225e+01,3.058006624777307536e+01,3.260445653788470821e+01,3.049936609706428214e+01,3.058006624777307536e+01,9.973623200371656594e+01
2.296723979097769643e+03,3.523197733005253971e+07,2.460482450206763148e+08,2.382549688632673224e+02,3.334856387779075249e+01,3.072927932815193230e+01,-3.780417427865742752e+00,2.303616779045840758e+03,2.281569051417971423e+03,3.326006051273274267e+01,3.034606634913889422e+01,3.294848832267056338e+01,3.072927932815193230e+01,3.034606634913889422e+01,9.973623200371656594e+01
2.293677160695579914e+03,3.487722299314618856e+07,1.641839191566696167e+08,2.381965468764734055e+02,3.331973619579339640e+01,2.866485880916505380e+01,4.003161120698260689e+00,2.288417844331774177e+03,2.276996976980276031e+03,3.315021021071625285e+01,2.825681652691336865e+01,3.284209019394312179e+01,2.866485880916505380e+01,2.825681652691336865e+01,9.973623200371656594e+01
