# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL
nan,nan,nan,nan,nan,nan
-3.290769554902199161e+02,8.016397883610069752e+06,1.666184617534908652e+07,1.931119734308595071e-04,7.942430927508814875e+01,2.894129081226395783e+00
1.452669114264008385e+02,4.133304645058300346e+06,1.506009607205220312e+07,3.835652453290094854e-04,8.093420927508816476e+01,4.597427302925154891e+00
-1.007512368735515338e+02,1.397366188403778151e+07,2.448218441652319580e+07,3.835652453858529043e-04,8.004430927508815330e+01,3.648543320781300281e+00
-5.943962737734909751e+01,1.130679451210253686e+07,1.039902010922291130e+07,3.835652453290094854e-04,8.175430927508816126e+01,1.006903834323867386e+01
4.866905677035538247e+02,-9.525227400409519672e+06,-1.540263559586781263e+07,3.835652453858529043e-04,8.826430927508815216e+01,4.237080945666008347e+00
-6.406653984796139412e+01,3.954516622144356370e+05,4.448527746011465788e+05,3.835652452721660666e-04,8.810430927508815557e+01,-3.683665274650309129e+00
3.786745244719040784e+02,2.913689356995750219e+06,-2.025256078001782298e+05,3.835652454426963232e-04,8.707430927508815444e+01,-6.875073759748886459e-01
-1.032475978606362332e+02,1.650933793572919816e+07,6.692480854512967169e+06,3.835652452721660666e-04,8.658890927508815594e+01,3.611713716325454016e+00
-5.065294245152290387e+01,2.644344541854724288e+06,-6.118793824938207865e+06,3.835652453858529043e-04,8.666430927508815785e+01,3.424410914835704034e+00
2.839736971684051241e+02,1.442294499965208769e+07,6.862590294481180608e+06,3.835652453858529043e-04,8.390430927508816694e+01,-2.345066150329074617e+00
-8.440807972395487013e+01,-2.107850650152832270e+06,-1.463325504668737203e+07,3.835652452721660666e-04,8.785430927508815557e+01,9.097946046433662559e-01
3.354411551637222146e+02,-1.707816014178425074e+06,-1.462728175139233470e+06,3.835652454426963232e-04,8.937430927508816580e+01,2.506238870388898476e+00
-3.520327375413944537e+01,7.057937496324256063e+06,6.257539243827834725e+05,3.835652452721660666e-04,9.203430927508816239e+01,4.563710638894406202e+00
1.662906831045347644e+02,-8.645284270278498530e+06,4.063172404857300222e+06,3.835652453858529043e-04,9.641430927508815785e+01,-1.686458297821900487e+00
2.769280969366973295e+02,3.798079168000787497e+06,3.425409712594695389e+06,3.835652453290094854e-04,9.863430927508815671e+01,4.090136064476723732e-01
3.779498235863702575e+02,-1.228689391388085112e+07,-1.788786407336826622e+07,3.835652453858529043e-04,9.860430927508815557e+01,-1.891101831688075663e+00
1.217690462065747852e+02,-5.321363882010966539e+06,-7.994993672486387193e+06,3.835652453290094854e-04,9.875430927508816126e+01,-7.823763622222372760e-01
1.065256820677986980e+02,5.260776173294700682e+06,1.015957469899656624e+07,3.835652453290094854e-04,9.925430927508816126e+01,-8.223777780801242443e-01
-1.721115733823153278e+02,-8.691671134916607291e+06,-6.553906007777035236e+06,3.835652453858529043e-04,9.969430927508815898e+01,6.793878883879642672e-01
2.799845042008564633e+01,-3.144439075653851032e+06,1.142078860585851967e+07,3.835652453290094854e-04,9.957430927508815444e+01,-3.362221226465635482e+00
-1.984891705687914509e+02,-2.939975029631566256e+06,-4.385358126567229629e+06,3.835652453858529043e-04,9.840430927508816694e+01,-5.190612995667976293e+00
-3.828112269910343457e+01,-2.570567267767429352e+06,7.918338367491684854e+06,3.835652452721660666e-04,1.002343092750881510e+02,-1.092955657533053682e+00
6.343351206071019988e+00,-5.691675999304801226e+05,-1.694148667558485270e+07,3.835652454426963232e-04,1.014943092750881419e+02,-4.504102927315557281e+00
-1.356875234566869040e+02,2.465034029343367368e+07,1.524325205717965961e+06,3.835652452721660666e-04,1.044743092750881601e+02,3.646963385553846138e+00
8.847844356763744145e+01,-9.977436601033672690e+06,-1.237940893805038184e+07,3.835652453858529043e-04,1.053943092750881476e+02,-8.607311385294735828e-01
-1.500758484820289596e+01,4.083429004362626374e+07,4.297006531617976725e+06,3.835652453858529043e-04,1.060443092750881533e+02,-7.137986788414423245e-01
-1.360355790125249769e+02,-1.063295491510748863e+07,2.599411220773637295e+06,3.835652452721660666e-04,1.203443092750881647e+02,5.833782110675542754e-01
-1.586884910544613376e+02,-9.594076809863276780e+06,2.958599692628326267e+07,3.835652454426963232e-04,1.170443092750881533e+02,-1.570413982833116506e+00
1.037530521375720127e+02,-1.869627221636243165e+06,4.032424676683354378e+07,3.835652452721660666e-04,1.187743092750881431e+02,1.554281113492598365e+01
9.468756731912435498e+00,-6.740113306249756366e+06,-1.907517555475327373e+07,3.835652453858529043e-04,1.146943092750881590e+02,-8.028456895475670763e+00
-1.263255099419384351e+02,-9.731542091469720006e+06,-7.619053683070696890e+06,3.835652453290094854e-04,1.100793092750881499e+02,3.305836288105581389e-01
2.358147556032599823e+01,1.859078198854289949e+05,2.818874778649445623e+07,3.835652453858529043e-04,1.087743092750881431e+02,1.215504920593559746e-01
-1.632696279891588347e+02,1.594218400396025553e+07,3.056284958384676278e+07,3.835652453290094854e-04,1.101743092750881488e+02,-7.904702979996045542e+00
3.069064121341361897e+02,-1.131869636561123282e+07,-1.953773273168009520e+07,3.835652453290094854e-04,1.141943092750881590e+02,-5.756520248186120625e+00
1.144306701776004047e+02,-9.188022817671597004e+05,5.488227662885084748e+06,3.835652453858529043e-04,1.135943092750881647e+02,1.793609768546502892e+00
-2.377301142444412108e+01,-1.087866307173974812e+06,2.281110450672425330e+06,3.835652453290094854e-04,1.137743092750881431e+02,-3.184600828838057396e+00
-1.923528576565167896e+02,1.270862024204563349e+06,3.575963019723588973e+07,3.835652453858529043e-04,1.155843092750881453e+02,5.940000295049117085e-01
-9.523539539631929074e+01,-3.277770061112917960e+06,-1.232299237289287150e+07,3.835652452721660666e-04,1.105243092750881431e+02,7.649805540138515880e+00
-2.170376865555354016e+02,-8.790665678273748606e+06,8.195103664072997868e+06,3.835652454426963232e-04,1.087743092750881431e+02,4.983387770402146089e+00
3.096137140124847065e+01,-2.210128937882848084e+06,-2.881601666483199596e+07,3.835652452721660666e-04,1.096543092750881669e+02,5.794093019512160936e-01
-2.284051984470024763e+02,-8.192140005401093513e+06,-1.043349806725692749e+07,3.835652453858529043e-04,1.052743092750881431e+02,-2.787558412241565975e+00
-6.948545695403663558e+01,1.307059249969143420e+06,-1.235441053517498076e+06,3.835652453858529043e-04,1.044743092750881601e+02,-9.485788321989900851e-01
4.352817778856660880e+01,1.291629494710110128e+06,1.004885249798935652e+07,3.835652452721660666e-04,1.098143092750881635e+02,5.572388083753907040e+00
2.055538340985713148e+02,-2.263824562218222767e+06,-2.310723364041548222e+07,3.835652454426963232e-04,1.095843092750881453e+02,2.703015873255282031e+00
9.873050887290446553e+00,1.128398541614655405e+06,-4.759616460442423820e+06,3.835652452721660666e-04,1.142943092750881533e+02,1.643423440941518265e+00
1.809124576161175355e+02,1.730412021751038730e+06,-4.947360916832983494e+06,3.835652453858529043e-04,1.115165092750881399e+02,1.916633977495706631e+00
-2.009636591056114412e+02,-1.008048398759008944e+07,-7.581536921990312636e+06,3.835652453290094854e-04,1.065043092750881613e+02,-3.262460835478947274e+00
-2.244997959256197646e+02,-2.289355767253063619e+06,1.084381841702324152e+07,3.835652453858529043e-04,1.052943092750881533e+02,5.146482487287926233e+00
-5.431697274269754416e+01,-7.311812233902297914e+06,-1.202831426662767678e+07,3.835652453290094854e-04,1.052543092750881613e+02,3.564316758421853137e+00
1.049066248255621758e+02,-7.015155962076589465e+06,-8.500573560178577900e+06,3.835652453290094854e-04,1.058443092750881647e+02,1.035765391778795674e-01
1.730335450845686864e+02,-1.357078756787810475e+06,9.274238010580539703e+05,3.835652453858529043e-04,1.086143092750881465e+02,5.214111441164789085e+00
1.432700022883036581e+02,-9.762633814549639821e+06,-1.776980229922138900e+07,3.835652453290094854e-04,1.100423092750881437e+02,7.924793482568475156e-01
8.302534800117427949e+00,-7.019615294129651040e+06,-1.266811300354877114e+07,3.835652453858529043e-04,1.094043092750881669e+02,-1.728698012642325921e+00
-9.810148031197968521e+01,8.140771708037294447e+06,7.965291434294253588e+06,3.835652452721660666e-04,1.083943092750881476e+02,-2.281151468430977047e+00
-1.006997369412074477e+02,3.859717494362907857e+07,1.044257774943404794e+08,3.835652454426963232e-04,1.061843092750881397e+02,-4.708706471486721057e-01
-1.179644792414565018e+02,-1.325331758563032001e+07,-3.842050359587630630e+07,3.835652452721660666e-04,1.063243092750881544e+02,-3.042724871414918653e+00
1.032046085528436379e+02,3.307755282190714031e+06,2.473830006132692099e+06,3.835652453858529043e-04,1.102943092750881533e+02,2.632978031069882263e+00
4.565686762070727127e+02,9.795092164568245411e+06,-5.063377194999814034e+06,3.835652453858529043e-04,1.147143092750881408e+02,-8.104168872883121821e-01
1.317273883984125860e+02,8.143912060801438987e+06,3.391545501385107636e+05,3.835652452721660666e-04,1.122943092750881533e+02,-2.342483546019423102e+00
-1.195969560214634839e+02,-1.459747314445115626e+07,-1.943081176976212859e+07,3.835652454426963232e-04,1.060243092750881431e+02,-1.830124724570879380e+00
-6.321200214832060738e+00,8.346658017273738980e+06,-5.796401070971563458e+06,3.835652452721660666e-04,1.084743092750881601e+02,-3.112415084680435484e-01
8.859530052390255150e+01,3.457380032242330164e+07,-1.292763303101614118e+06,3.835652453858529043e-04,1.089043092750881669e+02,1.991698059578709490e+00
-1.831172807573730097e+02,4.414578895403288305e+06,-1.112669538763280213e+07,3.835652453290094854e-04,9.965430927508816694e+01,-2.929881326946116360e+00
2.139252340438342799e+02,-1.817343494735552371e+07,-3.199270170520827174e+06,3.835652453858529043e-04,8.955430927508814420e+01,-5.110167644936609577e-01
5.372709784361359198e+01,-8.328662637538153678e+06,-9.758460746242567897e+06,3.835652453290094854e-04,8.837430927508816580e+01,-2.505906252849229077e+00
-1.016359681405883748e+02,-7.755061591323100030e+06,-2.262311595482468605e+06,3.835652453290094854e-04,8.935430927508815557e+01,8.475191335961085315e-02
2.040756900896976731e+02,6.608447735071510077e+06,1.539743722420684993e+06,3.835652453858529043e-04,8.820430927508814989e+01,-6.115462500971204918e-01
-2.138706624367987388e+02,-7.467792428435444832e+06,-5.506836642410457134e+06,3.835652453290094854e-04,8.597430927508816012e+01,-1.173539139172760315e+00
7.809025111051596468e+00,-3.289676718651801348e+05,6.546073503211997449e+06,3.835652453858529043e-04,8.536930927508814193e+01,-1.790741347688566520e+00
-1.779210912846865540e+02,-1.158753860828212276e+07,-1.748293947570193559e+07,3.835652452721660666e-04,8.272430927508816012e+01,-2.910496065909455865e+00
-9.009239174947288120e+01,-7.471533594305850565e+05,-3.122452995446935296e+06,3.835652454426963232e-04,8.277750927508816403e+01,-1.861877004228716714e+00
1.966572482917727029e+02,-3.651004837664060295e+06,7.408467719463542104e+06,3.835652452721660666e-04,8.311430927508814648e+01,1.128724570766053148e-01
8.851243149856418313e+01,9.277017594563469291e+06,4.522794707606642693e+07,3.835652453858529043e-04,8.192430927508814875e+01,-2.424469846734325529e+00
-1.569062837701876560e+02,7.630789358886115253e+06,-3.070962181113696098e+07,3.835652453858529043e-04,7.975430927508816126e+01,-2.366057693365064551e+00
-6.640900048523326404e+01,2.755547568587044626e+07,9.728352796594947577e+05,3.835652452721660666e-04,8.742430927508814875e+01,-2.844368168168216471e-01
-2.186969675478194404e+02,-2.674986403044202924e+07,-1.122143385860402882e+07,3.835652454426963232e-04,9.096930927508816467e+01,-1.676747844270209953e-01
3.621897776232253818e+01,-3.422187125719711185e+05,-3.808185047201491892e+06,3.835652452721660666e-04,9.216430927508815785e+01,1.048008140654417275e-01
-9.811466030919291370e+01,-9.173033692425049841e+06,3.241675498725287616e+06,3.835652453858529043e-04,8.873230927508814148e+01,-4.956628991381535343e-01
-1.440874410580745462e+02,8.189598852839086205e+06,4.527571063083559275e+06,3.835652453290094854e-04,8.743430927508813966e+01,-2.603936147482471597e+00
3.445387256231097126e+02,-1.288362624387882650e+06,-4.443962414023518562e+06,3.835652453858529043e-04,9.211430927508814648e+01,2.261886264877915664e+00
1.060575115217598068e+02,-4.390267313582673669e+06,3.214730552279390395e+06,3.835652453290094854e-04,9.425430927508816126e+01,-2.689743945252189405e+00
6.749274054536726908e+00,-4.421625634743571281e+05,-9.464866244684487581e+06,3.835652453290094854e-04,9.578430927508816239e+01,-7.054693813706478522e-01
6.404928072830625752e+01,-8.389286144890144467e+06,-3.809893906846642494e+05,3.835652453858529043e-04,9.383930927508814079e+01,2.790825750102783331e-01
5.794578725854080403e+01,-8.400659536083415151e+05,-5.163444693860769272e+06,3.835652453290094854e-04,9.419430927508815898e+01,2.883749451227600957e+00
8.730786399106182216e+01,1.191099152112975717e+05,8.226269236710667610e+05,3.835652453858529043e-04,9.437430927508816580e+01,-1.279966313771780051e+00
-2.168534807743017154e+02,5.659129142127037048e+06,1.083531524508867413e+07,3.835652452721660666e-04,9.023430927508815103e+01,-1.511442017230251622e+00
-3.506051787583946862e+02,-1.185112606359845027e+07,-2.214673825574056059e+07,3.835652454426963232e-04,8.382430927508815444e+01,-1.777121829422355859e+00
-1.436340181904615747e+02,-3.844551810367777944e+05,8.158344061180904508e+06,3.835652452721660666e-04,8.402430927508814307e+01,-1.091046546554224506e+00
1.203520881936492515e+01,7.688017602102067322e+06,1.989516973705694079e+07,3.835652453858529043e-04,8.561430927508814648e+01,2.462061662556692454e+00
-1.433628760394112760e+02,1.599810617394381762e+07,8.480770295179322362e+06,7.818347854083640414e-03,9.011430927508814648e+01,4.287533463808699707e+00
2.699530535627600329e+02,3.103681143741119653e+07,-8.391577166618920863e+06,4.859860086980916094e-04,9.531430927508816353e+01,3.318625335427640266e+00
2.914764723218777362e+02,-9.562172308186098933e+06,-1.143227122293836623e+07,4.860471560164114635e-04,8.367430927508814875e+01,4.621009922406074111e-01
-1.902954668448819575e+02,-6.104690112974017859e+06,-6.377476016540914774e+06,4.861083030505142233e-04,8.204430927508815330e+01,4.604545603766325712e-01
-4.886034957322044647e+01,-1.458910399137967080e+07,-2.007896152217060328e+06,4.861694503688340774e-04,7.888430927508815671e+01,-1.334777565044447556e+00
-4.375922971595355193e+01,-2.065286051907788962e+06,-1.153015043947644532e+07,4.862305975166236749e-04,7.662430927508816580e+01,-2.261013834998550465e+00
-5.488359532391768880e+01,-7.413445505337860435e+06,1.440602584716054052e+07,4.862917446644132724e-04,7.911430927508814648e+01,4.379229924681197872e+00
1.760837664565733576e+02,-5.669477020461566746e+06,-1.132887141284373403e+07,4.863528918690462888e-04,7.906430927508816353e+01,5.965651744733975193e-01
2.829994399099814473e+01,-6.324433147849664092e+05,-6.586376806005872786e+06,4.864140390736793051e-04,7.779430927508815330e+01,7.728143252572294841e-01
-2.744716597526348778e+00,-4.287876466110017151e+06,5.312996798399552703e+06,4.864751862214689027e-04,7.800430927508816126e+01,-8.083864098794606434e-01
-4.648729483256101958e+01,-2.286859641219571233e+06,-1.208593836847627908e+07,4.865363334829453379e-04,7.966430927508815785e+01,-2.219970997924093581e+00
-3.403185488515191537e+01,-6.744340907201405615e+06,-3.770716451062038541e+06,4.865974805170480977e-04,7.909430927508816467e+01,-1.399481867368081112e+00
4.340431905719015049e+01,-1.434334822479605675e+06,2.721566724923776090e+07,4.866586278353679518e-04,8.097430927508816012e+01,5.466636010789642341e+00
3.410370434923843277e+02,-3.839772770457752049e+06,-1.536067868360458314e+07,4.867197749831575493e-04,7.952030927508815239e+01,-6.534791732705542699e+00
-8.331756623144610785e+01,-6.442830934324014932e+06,-9.363801191125199199e+06,4.867809221877905657e-04,7.719430927508815898e+01,-1.431223645851105175e+00
-5.763747046958269493e+01,-6.949339424543783069e+06,-1.007942984276185185e+07,4.868420692787367443e-04,7.636430927508814648e+01,2.747850974426171433e-01
-2.263992096640686214e+01,1.136771537420027703e+07,-2.345505190932825208e+06,4.869032165970565984e-04,7.813430927508815671e+01,1.284165618694714794e-01
-1.081235506132179580e+02,-5.477596739929229021e+06,-5.959730802730448544e+06,4.869643636880027771e-04,7.801930927508814761e+01,-4.024971917255413700e+00
-1.024091365518033854e+02,-1.860211600229002535e+06,3.655165610942371190e+06,4.870255109494792123e-04,8.177430927508814307e+01,2.987544593734128284e-01
5.993026105221724720e+01,-5.521278958056475967e+06,-4.199570699110299349e+06,4.870866580404253909e-04,8.152430927508814307e+01,2.400144003938919468e+00
-1.856082293494200712e+02,-7.028021761476155370e+06,-5.000626782201834023e+06,4.871478053019018262e-04,7.993430927508813966e+01,-1.683923866173870465e+00
-1.165759439368412131e+01,-3.447760763324193656e+06,-5.702312799621500075e+06,4.872089523928480048e-04,8.081430927508816353e+01,6.308117376711095403e-01
-1.518273093909720046e+02,7.137910508871324360e+06,2.714561088700706512e+07,4.872700997111678589e-04,8.245430927508814989e+01,2.481706801858365452e+00
1.844837970252683590e+02,-6.528032840721014887e+06,2.399019909666471183e+06,-2.761411802856628128e-02,7.944430927508815898e+01,3.188773337949697861e+00
6.520917026369897940e+01,-1.786609363512977958e+06,-1.354867703696151078e+07,1.002698593879358668e-04,7.899430927508814193e+01,-4.121237564635123363e+00
5.525973149546734930e+01,-3.141590113694224507e+06,-1.875568202799461782e+06,1.000998868789793050e-04,7.737430927508816580e+01,-4.226760682103360978e-01
-1.864386183481783519e+02,-3.363690909403212368e+06,2.442735627373427153e+06,9.992991442686616210e-05,7.610430927508815557e+01,-8.625556978119277574e-01
4.808003979783825343e+01,2.648081616236083210e+05,6.253292826475575566e+05,9.975994186106618145e-05,7.651010927508815485e+01,1.990904018722090996e+00
-6.393783526610059198e+01,1.128525494197830558e+05,1.172726420119265467e+07,9.958996952263987623e-05,7.878430927508816239e+01,-5.308086509266445319e-01
-1.359090745158755453e+01,1.601161701085135713e+07,2.688557594912104011e+08,9.941999684315305785e-05,7.702430927508814307e+01,4.006141369565824562e+00
3.658902675707577146e+01,-7.822823586917124689e+06,-1.253642438371920586e+08,9.925002456157017150e-05,7.708430927508814534e+01,-3.425169954447454757e+00
-3.076345720848021301e+02,-2.337915030800156295e+06,-6.225536998891979456e+05,9.908005188208335312e-05,7.379430927508815330e+01,-6.926695825156770070e+00
5.995604181862290716e-01,-5.285938508922170848e+06,-2.144981619877959788e+07,9.891007954365704791e-05,7.384430927508816467e+01,-5.248553557540134307e+00
2.989446233611488424e+01,-5.657229894609946758e+06,6.005155248831242323e+06,9.874010697785706725e-05,7.154430927508815330e+01,1.120606484594077301e+00
-2.530257722443093371e+01,7.242175300890363753e+06,-2.674860886018902808e+07,9.857013446890050545e-05,7.167430927508814875e+01,6.482650662593044899e+00
