# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.946296823191328258e+02,-2.757190500959004567e+02,-2.321776472830606508e+02,-2.729014791452641475e+00,4.703228879167056675e+00,-3.072722792173578910e-01,2.894129081226395783e+00,4.703228879167056675e+00,-1.158394472447156431e+00
1.831861979944858376e+01,-4.265917787242251507e+02,1.645991003690851358e+02,4.284623090159186631e+00,4.243031328739903074e+00,1.481843882107654053e+00,4.597427302925154891e+00,4.243031328739903074e+00,6.642272875458075987e+00
-3.544191118769677473e+01,-8.451784336539403739e+02,-1.889406466983964492e+02,-2.997279979797042415e+00,3.820714056392375824e+00,-2.235684083060220928e+00,3.648543320781300281e+00,3.820714056392375824e+00,1.618822209673481893e+00
-5.763880123980361532e+02,-9.872640278276576282e+02,2.001575007847350207e+01,1.662241125734055913e+00,1.194582745998377504e+01,2.491908512144249244e+00,1.006903834323867386e+01,1.194582745998377504e+01,6.585812807042117356e+00
9.570435506527581992e+01,-7.462027938342871494e+02,2.778709614782746939e+02,8.164656796051360743e+00,-1.545639359583219630e-01,6.528238182989895222e+00,4.237080945666008347e+00,-1.545639359583219630e-01,1.011732883455744059e+01
-3.567534501636249615e+02,-3.900011944469297305e+02,1.228109470326253359e+02,-1.368845983856004977e+00,-3.466350567379379299e-01,-3.573076975874869277e-01,-3.683665274650309129e+00,-3.466350567379379299e-01,-2.797128454023038557e+00
1.825585588094496643e+02,6.528242910299377399e+01,1.683131158051965031e+02,7.776037844085124107e-01,1.002240972183642498e+00,-1.258899446365433050e+00,-6.875073759748886459e-01,1.002240972183642498e+00,-2.937299101797151479e+00
1.196775530811748496e+02,3.663889988357168477e+02,-1.668177878210372000e+02,-1.365532675067612445e+00,2.195440998155532952e+00,-2.745098364308546479e+00,3.611713716325454016e+00,2.195440998155532952e+00,6.144139093063131440e+00
-2.325619405456299091e+02,7.032367266079290857e+02,1.982368020430112665e+02,-4.121014748715822407e+00,4.144819709069878400e+00,6.505294114610649103e-01,3.424410914835704034e+00,4.144819709069878400e+00,3.813080431810647042e-01
1.708455245025458851e+02,4.733283282794400293e+02,8.490598615896851697e+01,3.612034724525585716e+00,-5.024433018871405920e+00,1.203680545626497178e+00,-2.345066150329074617e+00,-5.024433018871405920e+00,-6.107628759180272482e+00
-2.981980729391793261e+02,5.757129888301878964e+02,9.332484213359566638e+01,-1.893455601726770965e+00,2.532801920999986578e+00,9.497480771978814573e-01,9.097946046433662559e-01,2.532801920999986578e+00,7.635839049597166195e+00
1.185342763525058984e+02,2.348049813816014648e+02,3.171952566548879986e+02,3.707120261374058146e+00,4.947445516136525612e+00,3.293639216614479892e+00,2.506238870388898476e+00,4.947445516136525612e+00,1.054945237954314052e+00
-1.059577982424187894e+02,-4.553980306814810319e+01,-1.485421399444385315e+02,2.710275942907202307e+00,3.631157126427240200e+00,2.557733050316272738e+00,4.563710638894406202e+00,3.631157126427240200e+00,5.267327786540846546e+00
-2.120764154795830336e+02,1.809835193782255374e+02,2.603373779514640773e+02,3.763396223876213753e+00,-3.101021347908982762e+00,4.144483465971688929e+00,-1.686458297821900487e+00,-3.101021347908982762e+00,-1.233999543089538520e+00
-2.697743385312909368e+02,7.297703997868648003e+02,2.516781147709789366e+02,5.333829584856459860e-01,1.144930748357381844e+00,1.907436870427261510e-01,4.090136064476723732e-01,1.144930748357381844e+00,8.058620390736734862e-01
-4.324374868449142184e+01,1.128926954737797132e+03,2.266772169923078764e+02,5.570639858847528103e+00,-3.772771294073322679e-01,3.972847998003516068e+00,-1.891101831688075663e+00,-3.772771294073322679e-01,-4.691010571152958164e-01
5.445042055174153006e+01,1.488160493564684657e+03,1.275473199703919818e+02,1.245507816295827297e+00,-5.233456050685276750e-01,1.357549493668528839e+00,-7.823763622222372760e-01,-5.233456050685276750e-01,-1.639911892417643458e+00
2.891981712533702193e+02,1.636392294915100138e+03,-1.062791397111323022e+01,-1.406398492438313497e+00,-9.669430716685951666e-01,-1.577118418165042613e+00,-8.223777780801242443e-01,-9.669430716685951666e-01,-1.314833359152004277e+00
9.627366098214409362e+01,1.445047679482309832e+03,-6.655206211882250500e+01,1.856975233366682687e+00,-2.957149851169049271e+00,3.142836100180318226e+00,6.793878883879642672e-01,-2.957149851169049271e+00,-9.119678484020141696e-01
3.229381365966839894e+02,1.157739907563771339e+03,-5.186501348968704406e+01,1.163550444870622869e+00,-3.872820505371350919e+00,-1.401314965806392365e+00,-3.362221226465635482e+00,-3.872820505371350919e+00,-4.794975481417452556e+00
7.770963806733490742e+01,6.317822108792224753e+02,-2.182546635129328934e+02,-2.294657306887529558e+00,-5.878797935580053036e+00,-1.092430929575215259e+00,-5.190612995667976293e+00,-5.878797935580053036e+00,-4.068869242705829947e+00
7.706766854524137500e+01,3.765259522358210234e+02,1.226520626589954190e+02,1.609520165074343367e+00,-3.796241987945165874e+00,2.571052971844181911e+00,-1.092955657533053682e+00,-3.796241987945165874e+00,-2.847455188563685624e+00
1.550095400420798342e+02,2.725578751048396953e+02,-4.786185625802318100e+00,3.466621678155661357e-01,1.342316217425718605e+00,1.141803709031307790e+00,-4.504102927315557281e+00,1.342316217425718605e+00,-1.073918738663167005e+00
-3.963051620844979084e+01,4.837232466828718316e+02,-1.321612341273958009e+02,-9.147151559456290215e-01,3.123867481136414881e+00,-2.659182791082002950e+00,3.646963385553846138e+00,3.123867481136414881e+00,3.493859480954597529e-02
